id,nb_of_available_parking_spaces,ferme,parking_id,date
52172,296,f,LPA0724,2024-12-15 18:56:08
52173,298,f,LPA0731,2024-12-15 18:56:08
52174,1420,f,LPA0739,2024-12-15 18:56:08
52175,116,f,LPA0751,2024-12-15 18:56:08
52176,604,f,LPA0768,2024-12-15 18:56:08
52185,605,f,LPA0768,2024-12-15 18:57:10
52184,142,f,LPA0759,2024-12-15 18:57:10
52183,1427,f,LPA0739,2024-12-15 18:57:10
52182,163,f,LPA0732,2024-12-15 18:57:10
52178,311,f,LPA0703,2024-12-15 18:57:10
52180,67,f,LPA0764,2024-12-15 18:57:10
52179,401,f,LPA0706,2024-12-15 18:57:10
52181,295,f,LPA0731,2024-12-15 18:57:10
52177,191,f,LPA0702,2024-12-15 18:57:10
52192,294,f,LPA0731,2024-12-15 18:58:09
52197,126,f,LPA0755,2024-12-15 18:58:09
52196,1515,f,LPA0750,2024-12-15 18:58:09
52195,271,f,LPA0746,2024-12-15 18:58:09
52194,115,f,LPA0740,2024-12-15 18:58:09
52193,1424,f,LPA0739,2024-12-15 18:58:09
52191,388,f,LPA0716,2024-12-15 18:58:09
52189,403,f,LPA0706,2024-12-15 18:58:09
52188,312,f,LPA0703,2024-12-15 18:58:09
52187,193,f,LPA0702,2024-12-15 18:58:09
52186,405,f,LPA0766,2024-12-15 18:58:09
52190,275,f,LPA0765,2024-12-15 18:58:09
52204,270,f,LPA0746,2024-12-15 18:59:07
52203,31,f,LPA0738,2024-12-15 18:59:07
52202,162,f,LPA0732,2024-12-15 18:59:07
52201,295,f,LPA0731,2024-12-15 18:59:07
52200,233,f,LPA0729,2024-12-15 18:59:07
52199,405,f,LPA0706,2024-12-15 18:59:07
52198,190,f,LPA0702,2024-12-15 18:59:07
52213,990,f,LPA0758,2024-12-15 19:00:10
52214,143,f,LPA0759,2024-12-15 19:00:10
52212,118,f,LPA0751,2024-12-15 19:00:10
52211,271,f,LPA0746,2024-12-15 19:00:10
52210,1425,f,LPA0739,2024-12-15 19:00:10
52206,189,f,LPA0702,2024-12-15 19:00:10
52208,298,f,LPA0724,2024-12-15 19:00:10
52207,408,f,LPA0706,2024-12-15 19:00:10
52205,407,f,LPA0766,2024-12-15 19:00:10
52209,409,f,LPA0737,2024-12-15 19:00:10
52222,163,f,LPA0732,2024-12-15 19:01:07
52225,119,f,LPA0751,2024-12-15 19:01:07
52226,144,f,LPA0759,2024-12-15 19:01:07
52224,1427,f,LPA0739,2024-12-15 19:01:07
52223,410,f,LPA0737,2024-12-15 19:01:07
52221,293,f,LPA0731,2024-12-15 19:01:07
52216,188,f,LPA0702,2024-12-15 19:01:07
52219,68,f,LPA0764,2024-12-15 19:01:07
52215,409,f,LPA0766,2024-12-15 19:01:07
52220,296,f,LPA0724,2024-12-15 19:01:07
52218,274,f,LPA0765,2024-12-15 19:01:07
52217,410,f,LPA0706,2024-12-15 19:01:07
52227,410,f,LPA0766,2024-12-15 19:02:09
52238,145,f,LPA0759,2024-12-15 19:02:09
52237,183,f,LPA0756,2024-12-15 19:02:09
52236,127,f,LPA0755,2024-12-15 19:02:09
52233,164,f,LPA0732,2024-12-15 19:02:09
52235,770,f,LPA0749,2024-12-15 19:02:09
52231,299,f,LPA0724,2024-12-15 19:02:09
52230,69,f,LPA0764,2024-12-15 19:02:09
52229,411,f,LPA0706,2024-12-15 19:02:09
52228,186,f,LPA0702,2024-12-15 19:02:09
52232,296,f,LPA0731,2024-12-15 19:02:09
52234,270,f,LPA0746,2024-12-15 19:02:09
52248,269,f,LPA0746,2024-12-15 19:03:07
52253,144,f,LPA0759,2024-12-15 19:03:07
52252,184,f,LPA0756,2024-12-15 19:03:07
52251,128,f,LPA0755,2024-12-15 19:03:07
52250,1517,f,LPA0750,2024-12-15 19:03:07
52249,771,f,LPA0749,2024-12-15 19:03:07
52247,1431,f,LPA0739,2024-12-15 19:03:07
52246,165,f,LPA0732,2024-12-15 19:03:07
52244,231,f,LPA0729,2024-12-15 19:03:07
52243,297,f,LPA0724,2024-12-15 19:03:07
52242,68,f,LPA0764,2024-12-15 19:03:07
52241,275,f,LPA0765,2024-12-15 19:03:07
52240,413,f,LPA0706,2024-12-15 19:03:07
52239,411,f,LPA0766,2024-12-15 19:03:07
52245,298,f,LPA0731,2024-12-15 19:03:07
52265,142,f,LPA0759,2024-12-15 19:04:08
52264,991,f,LPA0758,2024-12-15 19:04:08
52263,181,f,LPA0756,2024-12-15 19:04:08
52262,1516,f,LPA0750,2024-12-15 19:04:08
52261,270,f,LPA0746,2024-12-15 19:04:08
52260,1434,f,LPA0739,2024-12-15 19:04:08
52258,227,f,LPA0729,2024-12-15 19:04:08
52257,274,f,LPA0765,2024-12-15 19:04:08
52256,414,f,LPA0706,2024-12-15 19:04:08
52255,184,f,LPA0702,2024-12-15 19:04:08
52254,410,f,LPA0766,2024-12-15 19:04:08
52259,302,f,LPA0731,2024-12-15 19:04:08
52275,143,f,LPA0759,2024-12-15 19:05:09
52274,990,f,LPA0758,2024-12-15 19:05:09
52273,1518,f,LPA0750,2024-12-15 19:05:09
52272,1444,f,LPA0739,2024-12-15 19:05:09
52271,166,f,LPA0732,2024-12-15 19:05:09
52270,304,f,LPA0731,2024-12-15 19:05:09
52268,69,f,LPA0764,2024-12-15 19:05:09
52267,416,f,LPA0706,2024-12-15 19:05:09
52266,185,f,LPA0702,2024-12-15 19:05:09
52269,229,f,LPA0729,2024-12-15 19:05:09
52285,604,f,LPA0768,2024-12-15 19:06:08
52284,988,f,LPA0758,2024-12-15 19:06:08
52283,182,f,LPA0756,2024-12-15 19:06:08
52282,772,f,LPA0749,2024-12-15 19:06:08
