id,nb_of_available_parking_spaces,ferme,parking_id,date
253,200,f,LPA0740,2024-12-03 11:23:08
254,260,f,LPA0706,2024-12-03 11:23:08
255,97,f,LPA0756,2024-12-03 11:23:08
256,183,f,LPA0752,2024-12-03 11:23:08
257,357,f,LPA0754,2024-12-03 11:23:08
258,296,f,LPA0746,2024-12-03 11:23:08
259,79,f,LPA0751,2024-12-03 11:23:08
260,102,f,LPA0732,2024-12-03 11:23:08
261,872,f,LPA0750,2024-12-03 11:23:08
262,633,f,LPA0749,2024-12-03 11:23:08
263,118,f,LPA0759,2024-12-03 11:23:08
264,180,f,LPA0737,2024-12-03 11:23:08
265,453,f,LPA0768,2024-12-03 11:23:08
266,226,f,LPA0724,2024-12-03 11:23:08
267,70,f,LPA0755,2024-12-03 11:23:08
268,189,f,LPA0729,2024-12-03 11:23:08
269,193,f,LPA0776,2024-12-03 11:23:08
270,144,f,LPA0731,2024-12-03 11:23:08
271,744,f,LPA0758,2024-12-03 11:23:08
272,295,f,LPA0765,2024-12-03 11:23:08
273,114,f,LPA0703,2024-12-03 11:23:08
274,149,f,LPA0739,2024-12-03 11:23:08
275,89,f,LPA0764,2024-12-03 11:23:08
276,147,f,LPA0777,2024-12-03 11:23:08
277,385,f,LPA0716,2024-12-03 11:23:08
278,66,f,LPA0702,2024-12-03 11:23:08
279,268,f,LPA0766,2024-12-03 11:23:08
280,80,f,LPA0751,2024-12-03 11:24:07
281,873,f,LPA0750,2024-12-03 11:24:07
282,634,f,LPA0749,2024-12-03 11:24:07
283,117,f,LPA0759,2024-12-03 11:24:07
284,182,f,LPA0737,2024-12-03 11:24:07
285,454,f,LPA0768,2024-12-03 11:24:07
286,225,f,LPA0724,2024-12-03 11:24:07
287,69,f,LPA0755,2024-12-03 11:24:07
288,188,f,LPA0729,2024-12-03 11:24:07
289,192,f,LPA0776,2024-12-03 11:24:07
290,143,f,LPA0731,2024-12-03 11:24:07
291,743,f,LPA0758,2024-12-03 11:24:07
292,115,f,LPA0703,2024-12-03 11:24:07
293,151,f,LPA0739,2024-12-03 11:24:07
294,90,f,LPA0764,2024-12-03 11:24:07
295,266,f,LPA0766,2024-12-03 11:24:07
296,297,f,LPA0746,2024-12-03 11:25:11
297,99,f,LPA0732,2024-12-03 11:25:11
298,452,f,LPA0768,2024-12-03 11:25:11
299,224,f,LPA0724,2024-12-03 11:25:11
300,191,f,LPA0776,2024-12-03 11:25:11
301,141,f,LPA0731,2024-12-03 11:25:11
302,744,f,LPA0758,2024-12-03 11:25:11
303,296,f,LPA0765,2024-12-03 11:25:11
304,149,f,LPA0739,2024-12-03 11:25:11
305,91,f,LPA0764,2024-12-03 11:25:11
306,264,f,LPA0766,2024-12-03 11:25:11
307,95,f,LPA0756,2024-12-03 11:26:09
308,184,f,LPA0752,2024-12-03 11:26:09
309,79,f,LPA0751,2024-12-03 11:26:09
310,874,f,LPA0750,2024-12-03 11:26:09
311,223,f,LPA0724,2024-12-03 11:26:09
312,185,f,LPA0729,2024-12-03 11:26:09
313,139,f,LPA0731,2024-12-03 11:26:09
314,114,f,LPA0703,2024-12-03 11:26:09
315,151,f,LPA0739,2024-12-03 11:26:09
316,67,f,LPA0702,2024-12-03 11:26:09
317,259,f,LPA0706,2024-12-03 11:27:08
318,94,f,LPA0756,2024-12-03 11:27:08
319,185,f,LPA0752,2024-12-03 11:27:08
320,98,f,LPA0732,2024-12-03 11:27:08
321,872,f,LPA0750,2024-12-03 11:27:08
322,183,f,LPA0737,2024-12-03 11:27:08
323,453,f,LPA0768,2024-12-03 11:27:08
324,184,f,LPA0729,2024-12-03 11:27:08
325,143,f,LPA0731,2024-12-03 11:27:08
326,743,f,LPA0758,2024-12-03 11:27:08
327,294,f,LPA0765,2024-12-03 11:27:08
328,113,f,LPA0703,2024-12-03 11:27:08
329,152,f,LPA0739,2024-12-03 11:27:08
330,90,f,LPA0764,2024-12-03 11:27:08
331,65,f,LPA0702,2024-12-03 11:27:08
332,265,f,LPA0766,2024-12-03 11:27:08
333,258,f,LPA0706,2024-12-03 11:28:08
334,93,f,LPA0756,2024-12-03 11:28:08
335,186,f,LPA0752,2024-12-03 11:28:08
336,356,f,LPA0754,2024-12-03 11:28:08
337,78,f,LPA0751,2024-12-03 11:28:08
338,1,f,LPA0738,2024-12-03 11:28:08
339,119,f,LPA0759,2024-12-03 11:28:08
340,182,f,LPA0737,2024-12-03 11:28:08
341,222,f,LPA0724,2024-12-03 11:28:08
342,71,f,LPA0755,2024-12-03 11:28:08
343,192,f,LPA0776,2024-12-03 11:28:08
344,142,f,LPA0731,2024-12-03 11:28:08
345,114,f,LPA0703,2024-12-03 11:28:08
346,149,f,LPA0739,2024-12-03 11:28:08
347,66,f,LPA0702,2024-12-03 11:28:08
348,264,f,LPA0766,2024-12-03 11:28:08
349,118,f,LPA0759,2024-12-03 11:29:09
